original_index,delta,period,city
2161,4136.15,1,GRONINGEN
2986,1383.0,1,GRONINGEN
814,-7551.68,1,GRONINGEN
284,11522.14,1,GRONINGEN
834,-1701.11,1,GRONINGEN
675,14.329999999999927,1,GRONINGEN
3853,1002.6700000000001,1,GRONINGEN
1400,-292.69000000000005,1,GRONINGEN
2711,-2858.0,1,GRONINGEN
2840,-4282.0,1,GRONINGEN
2345,-141.26999999999998,1,GRONINGEN
604,-702.52,1,GRONINGEN
87,-7793.71,1,GRONINGEN
1752,-1583.0,1,GRONINGEN
1474,-2159.2700000000004,1,GRONINGEN
1749,-2963.5299999999997,1,GRONINGEN
295,-11.760000000000218,1,GRONINGEN
695,-1952.3,1,GRONINGEN
2998,-938.1300000000001,1,GRONINGEN
1517,12574.54,1,GRONINGEN
1123,-395.75,1,GRONINGEN
1013,-9.829999999999927,1,GRONINGEN
847,-1432.3,1,GRONINGEN
2652,507.17999999999984,1,GRONINGEN
1295,-5687.74,1,GRONINGEN
3616,543.1300000000001,1,GRONINGEN
1584,-168.77999999999997,1,GRONINGEN
1853,902.6199999999999,1,GRONINGEN
1041,364.8399999999999,1,GRONINGEN
1710,-1453.76,1,GRONINGEN
3278,-1444.5,1,GRONINGEN
1310,140.3599999999999,1,GRONINGEN
2970,2005.0,1,GRONINGEN
3579,-1614.19,1,GRONINGEN
288,9811.08,1,GRONINGEN
2320,-834.71,1,GRONINGEN
2244,5188.82,1,GRONINGEN
3754,-607.4200000000001,1,GRONINGEN
254,-1105.8000000000002,1,GRONINGEN
1819,-460.6700000000001,1,GRONINGEN
2044,-1308.54,1,GRONINGEN
2815,-2331.76,1,GRONINGEN
3675,-2147.27,1,GRONINGEN
784,-321.5999999999999,1,GRONINGEN
1408,-383.0,1,GRONINGEN
64,1089.2600000000002,1,GRONINGEN
2041,317.5,1,GRONINGEN
573,-884.1099999999999,1,GRONINGEN
746,-153.55999999999995,1,GRONINGEN
3604,1356.58,1,GRONINGEN
2979,1907.54,1,GRONINGEN
2630,18110.08,1,GRONINGEN
3231,714.96,1,GRONINGEN
