original_index,delta,period,city
8259,726,1,AMSTERDAM
9576,948,1,AMSTERDAM
4107,13343,1,AMSTERDAM
3968,99,1,AMSTERDAM
8944,-2409,1,AMSTERDAM
4429,-1048,1,AMSTERDAM
8934,1500,1,AMSTERDAM
14178,4461,1,AMSTERDAM
12187,2681,1,AMSTERDAM
12679,150,1,AMSTERDAM
3041,5297,1,AMSTERDAM
14554,-1013,1,AMSTERDAM
3145,77,1,AMSTERDAM
4239,-2048,1,AMSTERDAM
12000,1433,1,AMSTERDAM
5922,2511,1,AMSTERDAM
3438,-4920,1,AMSTERDAM
7986,-5701,1,AMSTERDAM
11318,1700,1,AMSTERDAM
3574,-16899,1,AMSTERDAM
9508,-2035,1,AMSTERDAM
7911,-404,1,AMSTERDAM
11532,5743,1,AMSTERDAM
3582,-516,1,AMSTERDAM
10198,12036,1,AMSTERDAM
4226,161,1,AMSTERDAM
11846,-402,1,AMSTERDAM
1716,-16259,1,AMSTERDAM
3388,-1824,1,AMSTERDAM
6831,-91,1,AMSTERDAM
155,-7647,1,AMSTERDAM
14446,950,1,AMSTERDAM
1118,-1,1,AMSTERDAM
3925,-719,1,AMSTERDAM
10796,-5,1,AMSTERDAM
14655,7958,1,AMSTERDAM
2242,1453,1,AMSTERDAM
2379,-1507,1,AMSTERDAM
4132,-328,1,AMSTERDAM
2754,3953,1,AMSTERDAM
9736,6606,1,AMSTERDAM
9685,2484,1,AMSTERDAM
9450,1116,1,AMSTERDAM
6323,1056,1,AMSTERDAM
4309,-1787,1,AMSTERDAM
11937,-1325,1,AMSTERDAM
9359,1144,1,AMSTERDAM
6952,-212,1,AMSTERDAM
1923,-679,1,AMSTERDAM
12369,865,1,AMSTERDAM
10546,1636,1,AMSTERDAM
5560,201,1,AMSTERDAM
8523,918,1,AMSTERDAM
242,9560,1,AMSTERDAM
3527,3489,1,AMSTERDAM
2273,11597,1,AMSTERDAM
10407,5541,1,AMSTERDAM
8094,-466,1,AMSTERDAM
14951,-712,1,AMSTERDAM
6750,153,1,AMSTERDAM
1983,-404,1,AMSTERDAM
38,113,1,AMSTERDAM
14382,-8538,1,AMSTERDAM
13067,-546,1,AMSTERDAM
10257,3404,1,AMSTERDAM
13557,1319,1,AMSTERDAM
5376,-1298,1,AMSTERDAM
6565,908,1,AMSTERDAM
4864,-3328,1,AMSTERDAM
14891,-424,1,AMSTERDAM
11627,-2369,1,AMSTERDAM
8140,27006,1,AMSTERDAM
4609,-2203,1,AMSTERDAM
14609,-1227,1,AMSTERDAM
6673,-840,1,AMSTERDAM
12447,-103,1,AMSTERDAM
118,6342,1,AMSTERDAM
4572,-131,1,AMSTERDAM
4178,-70,1,AMSTERDAM
4174,926,1,AMSTERDAM
12731,-291,1,AMSTERDAM
5023,-1273,1,AMSTERDAM
2255,674,1,AMSTERDAM
11169,-296,1,AMSTERDAM
14661,4324,1,AMSTERDAM
2201,2182,1,AMSTERDAM
4810,21666,1,AMSTERDAM
1882,-597,1,AMSTERDAM
14646,12867,1,AMSTERDAM
6601,535,1,AMSTERDAM
2320,2826,1,AMSTERDAM
14738,9510,1,AMSTERDAM
2355,263,1,AMSTERDAM
12287,142,1,AMSTERDAM
3917,-879,1,AMSTERDAM
77,-779,1,AMSTERDAM
4699,-17050,1,AMSTERDAM
10076,-2591,1,AMSTERDAM
6695,-516,1,AMSTERDAM
12422,-7797,1,AMSTERDAM
14709,-1449,1,AMSTERDAM
4495,-9170,1,AMSTERDAM
1933,3349,1,AMSTERDAM
8094,-466,1,AMSTERDAM
9857,-504,1,AMSTERDAM
14447,-149,1,AMSTERDAM
6582,-1034,1,AMSTERDAM
6365,-1519,1,AMSTERDAM
973,1465,1,AMSTERDAM
7237,2377,1,AMSTERDAM
14659,1068,1,AMSTERDAM
1949,-8973,1,AMSTERDAM
2379,-1507,1,AMSTERDAM
3379,-30,1,AMSTERDAM
14951,-712,1,AMSTERDAM
1202,-1980,1,AMSTERDAM
9440,-6001,1,AMSTERDAM
6665,-191,1,AMSTERDAM
6188,-776,1,AMSTERDAM
2959,187,1,AMSTERDAM
851,-3460,1,AMSTERDAM
8183,1079,1,AMSTERDAM
12484,359,1,AMSTERDAM
12648,189,1,AMSTERDAM
4586,-1238,1,AMSTERDAM
13113,680,1,AMSTERDAM
13973,278,1,AMSTERDAM
5732,-1248,1,AMSTERDAM
8888,-1161,1,AMSTERDAM
9339,353,1,AMSTERDAM
10031,-952,1,AMSTERDAM
9794,352,1,AMSTERDAM
4481,-1882,1,AMSTERDAM
712,589,1,AMSTERDAM
5104,-621,1,AMSTERDAM
7270,-4011,1,AMSTERDAM
7006,-504,1,AMSTERDAM
2895,2027,1,AMSTERDAM
11777,-2985,1,AMSTERDAM
7470,-1459,1,AMSTERDAM
7351,-777,1,AMSTERDAM
5128,-2659,1,AMSTERDAM
12717,-2577,1,AMSTERDAM
9226,-811,1,AMSTERDAM
10838,-818,1,AMSTERDAM
7830,-367,1,AMSTERDAM
2828,-499,1,AMSTERDAM
2432,398,1,AMSTERDAM
11195,-2851,1,AMSTERDAM
1506,1906,1,AMSTERDAM
89,-4110,1,AMSTERDAM
9688,4395,1,AMSTERDAM
4471,-683,1,AMSTERDAM
2144,2940,1,AMSTERDAM
1379,-489,1,AMSTERDAM
11468,997,1,AMSTERDAM
4663,-7951,1,AMSTERDAM
9212,612,1,AMSTERDAM
8072,-60,1,AMSTERDAM
14692,-168,1,AMSTERDAM
1241,-11077,1,AMSTERDAM
8680,1077,1,AMSTERDAM
9610,-843,1,AMSTERDAM
3734,-227,1,AMSTERDAM
1149,-1549,1,AMSTERDAM
5787,169,1,AMSTERDAM
9253,-2186,1,AMSTERDAM
12482,-571,1,AMSTERDAM
7822,1919,1,AMSTERDAM
1929,-5429,1,AMSTERDAM
4524,1285,1,AMSTERDAM
5241,375,1,AMSTERDAM
3881,-469,1,AMSTERDAM
1283,21001,1,AMSTERDAM
1845,1158,1,AMSTERDAM
7907,458,1,AMSTERDAM
7903,1589,1,AMSTERDAM
8918,10030,1,AMSTERDAM
3955,-359,1,AMSTERDAM
12686,-3186,1,AMSTERDAM
7464,-1899,1,AMSTERDAM
991,-5501,1,AMSTERDAM
7612,-70,1,AMSTERDAM
13184,136,1,AMSTERDAM
12051,1814,1,AMSTERDAM
11442,23,1,AMSTERDAM
13760,39,1,AMSTERDAM
704,-343,1,AMSTERDAM
424,4045,1,AMSTERDAM
3614,803,1,AMSTERDAM
11980,-786,1,AMSTERDAM
2261,2242,1,AMSTERDAM
2848,-159,1,AMSTERDAM
9400,-2195,1,AMSTERDAM
9089,-1962,1,AMSTERDAM
3191,-4017,1,AMSTERDAM
12753,-482,1,AMSTERDAM
7171,204,1,AMSTERDAM
10132,-1340,1,AMSTERDAM
12034,405,1,AMSTERDAM
812,1112,1,AMSTERDAM
14282,-1638,1,AMSTERDAM
2817,-685,1,AMSTERDAM
3817,-2680,1,AMSTERDAM
261,-81,1,AMSTERDAM
2006,-655,1,AMSTERDAM
8682,7656,1,AMSTERDAM
10734,158,1,AMSTERDAM
4771,3666,1,AMSTERDAM
2730,-3742,1,AMSTERDAM
9652,1204,1,AMSTERDAM
4387,30,1,AMSTERDAM
14459,-9073,1,AMSTERDAM
6525,621,1,AMSTERDAM
9094,4882,1,AMSTERDAM
4101,-269,1,AMSTERDAM
9393,62,1,AMSTERDAM
10432,1360,1,AMSTERDAM
3749,-44,1,AMSTERDAM
14977,-628,1,AMSTERDAM
14621,95,1,AMSTERDAM
13250,-1950,1,AMSTERDAM
3947,8110,1,AMSTERDAM
4421,-1098,1,AMSTERDAM
9285,-18,1,AMSTERDAM
7716,-852,1,AMSTERDAM
8362,1983,1,AMSTERDAM
11994,3422,1,AMSTERDAM
1402,515,1,AMSTERDAM
4624,-2549,1,AMSTERDAM
9948,447,1,AMSTERDAM
10019,-2383,1,AMSTERDAM
4744,-13929,1,AMSTERDAM
8758,9158,1,AMSTERDAM
4162,523,1,AMSTERDAM
11260,-2212,1,AMSTERDAM
8411,177,1,AMSTERDAM
1286,-2080,1,AMSTERDAM
8638,350,1,AMSTERDAM
10728,39,1,AMSTERDAM
12275,-3214,1,AMSTERDAM
2813,-23,1,AMSTERDAM
9885,-2155,1,AMSTERDAM
13958,64,1,AMSTERDAM
14144,1042,1,AMSTERDAM
13624,326,1,AMSTERDAM
11109,-9464,1,AMSTERDAM
4568,-3554,1,AMSTERDAM
4917,-1421,1,AMSTERDAM
3547,4623,1,AMSTERDAM
10416,4521,1,AMSTERDAM
10339,3412,1,AMSTERDAM
9253,-2186,1,AMSTERDAM
9585,-959,1,AMSTERDAM
14574,-1327,1,AMSTERDAM
5164,-98,1,AMSTERDAM
2283,267,1,AMSTERDAM
10819,-919,1,AMSTERDAM
2152,-748,1,AMSTERDAM
10447,-2564,1,AMSTERDAM
7222,272,1,AMSTERDAM
2543,-506,1,AMSTERDAM
5951,108,1,AMSTERDAM
1702,-10884,1,AMSTERDAM
59,4954,1,AMSTERDAM
5962,-6,1,AMSTERDAM
5214,-418,1,AMSTERDAM
10074,-6043,1,AMSTERDAM
9240,-1474,1,AMSTERDAM
9233,1922,1,AMSTERDAM
7043,-178,1,AMSTERDAM
2143,-3545,1,AMSTERDAM
2912,-1590,1,AMSTERDAM
11200,-1663,1,AMSTERDAM
10305,10997,1,AMSTERDAM
1377,571,1,AMSTERDAM
5414,-1780,1,AMSTERDAM
774,206,1,AMSTERDAM
1648,-1988,1,AMSTERDAM
10845,7762,1,AMSTERDAM
8983,753,1,AMSTERDAM
5362,2199,1,AMSTERDAM
14877,-1634,1,AMSTERDAM
14258,2226,1,AMSTERDAM
7173,-100,1,AMSTERDAM
14005,237,1,AMSTERDAM
1101,-568,1,AMSTERDAM
10363,7204,1,AMSTERDAM
14734,-1837,1,AMSTERDAM
6914,-1684,1,AMSTERDAM
5118,372,1,AMSTERDAM
3126,-701,1,AMSTERDAM
12813,12592,1,AMSTERDAM
4395,516,1,AMSTERDAM
8675,394,1,AMSTERDAM
6230,1698,1,AMSTERDAM
1830,6939,1,AMSTERDAM
