original_index,delta,period,city
7398,-453,1,ROTTERDAM
9769,-1776,1,ROTTERDAM
3945,307,1,ROTTERDAM
1671,-783,1,ROTTERDAM
1813,397,1,ROTTERDAM
7431,-451,1,ROTTERDAM
3753,-3180,1,ROTTERDAM
4154,6253,1,ROTTERDAM
8110,-4933,1,ROTTERDAM
7938,2056,1,ROTTERDAM
8864,2121,1,ROTTERDAM
6644,-1316,1,ROTTERDAM
562,2157,1,ROTTERDAM
5750,-1471,1,ROTTERDAM
5465,-7397,1,ROTTERDAM
8261,-451,1,ROTTERDAM
7186,-2119,1,ROTTERDAM
8712,-3131,1,ROTTERDAM
196,-1537,1,ROTTERDAM
9265,162,1,ROTTERDAM
2358,-1542,1,ROTTERDAM
6230,-8014,1,ROTTERDAM
6212,-1465,1,ROTTERDAM
5269,-445,1,ROTTERDAM
5662,-1909,1,ROTTERDAM
9246,324,1,ROTTERDAM
5800,2265,1,ROTTERDAM
5355,2793,1,ROTTERDAM
9512,-2904,1,ROTTERDAM
646,-3156,1,ROTTERDAM
8699,-1903,1,ROTTERDAM
32,-1602,1,ROTTERDAM
5202,113,1,ROTTERDAM
5944,-548,1,ROTTERDAM
7620,-910,1,ROTTERDAM
3205,127,1,ROTTERDAM
5669,7148,1,ROTTERDAM
1945,1249,1,ROTTERDAM
5015,7981,1,ROTTERDAM
991,-1121,1,ROTTERDAM
8996,-258,1,ROTTERDAM
14,-895,1,ROTTERDAM
2273,-3067,1,ROTTERDAM
5973,141,1,ROTTERDAM
8308,-2052,1,ROTTERDAM
9800,-1018,1,ROTTERDAM
1193,-11864,1,ROTTERDAM
7724,2164,1,ROTTERDAM
755,287,1,ROTTERDAM
6635,-1159,1,ROTTERDAM
1788,278,1,ROTTERDAM
1699,-4616,1,ROTTERDAM
4329,-6991,1,ROTTERDAM
6269,-2890,1,ROTTERDAM
7581,-581,1,ROTTERDAM
4531,-582,1,ROTTERDAM
4661,939,1,ROTTERDAM
8044,-13,1,ROTTERDAM
3783,1338,1,ROTTERDAM
4198,571,1,ROTTERDAM
3632,4788,1,ROTTERDAM
9183,1665,1,ROTTERDAM
7712,-471,1,ROTTERDAM
7227,-437,1,ROTTERDAM
5497,1344,1,ROTTERDAM
4835,380,1,ROTTERDAM
1668,-966,1,ROTTERDAM
6987,-13,1,ROTTERDAM
291,-5464,1,ROTTERDAM
571,-5615,1,ROTTERDAM
4101,-2536,1,ROTTERDAM
3785,-566,1,ROTTERDAM
2694,-3274,1,ROTTERDAM
4525,-2034,1,ROTTERDAM
5176,-11602,1,ROTTERDAM
2474,-1817,1,ROTTERDAM
5054,1791,1,ROTTERDAM
3061,-1859,1,ROTTERDAM
5384,584,1,ROTTERDAM
4073,2839,1,ROTTERDAM
6687,-1884,1,ROTTERDAM
8415,1972,1,ROTTERDAM
2041,9005,1,ROTTERDAM
9364,5068,1,ROTTERDAM
8585,9453,1,ROTTERDAM
3502,-953,1,ROTTERDAM
4114,-192,1,ROTTERDAM
2454,1633,1,ROTTERDAM
4328,-15144,1,ROTTERDAM
7553,-771,1,ROTTERDAM
6795,-4161,1,ROTTERDAM
645,3219,1,ROTTERDAM
3692,-754,1,ROTTERDAM
5866,-848,1,ROTTERDAM
87,8425,1,ROTTERDAM
402,328,1,ROTTERDAM
3842,-15567,1,ROTTERDAM
896,-195,1,ROTTERDAM
6215,-5711,1,ROTTERDAM
6828,-361,1,ROTTERDAM
3767,-314,1,ROTTERDAM
2633,-1801,1,ROTTERDAM
9155,-349,1,ROTTERDAM
3391,1851,1,ROTTERDAM
8846,1557,1,ROTTERDAM
3797,642,1,ROTTERDAM
7077,-2341,1,ROTTERDAM
806,-697,1,ROTTERDAM
9614,-728,1,ROTTERDAM
8985,-474,1,ROTTERDAM
3690,2772,1,ROTTERDAM
5883,7663,1,ROTTERDAM
4259,1237,1,ROTTERDAM
1650,-1119,1,ROTTERDAM
3425,-1548,1,ROTTERDAM
7953,-2338,1,ROTTERDAM
4584,-2124,1,ROTTERDAM
6634,-3068,1,ROTTERDAM
1835,3782,1,ROTTERDAM
1359,-673,1,ROTTERDAM
2177,1226,1,ROTTERDAM
1189,-121,1,ROTTERDAM
2660,2806,1,ROTTERDAM
67,-2824,1,ROTTERDAM
1450,-713,1,ROTTERDAM
3798,-2268,1,ROTTERDAM
5882,183,1,ROTTERDAM
2613,294,1,ROTTERDAM
5627,-1423,1,ROTTERDAM
261,2490,1,ROTTERDAM
6187,-1957,1,ROTTERDAM
1545,-807,1,ROTTERDAM
9358,693,1,ROTTERDAM
1963,-13520,1,ROTTERDAM
3864,-1630,1,ROTTERDAM
9133,-9237,1,ROTTERDAM
3294,722,1,ROTTERDAM
888,-423,1,ROTTERDAM
9242,-905,1,ROTTERDAM
